                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1302,                 3.3674,                  1.446,                0.35932,                0.11111,                0.02317,                0.01826,                  0.782,                 4.0839,                 1.0894,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.1407,                 3.4549,                 1.4494,                 0.2802,                 0.6713,                0.42193,                0.34367,                0.69301,                 2.3231,                 1.0456,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                 0.9032,                 1.9197,                  1.311,                0.62082,                0.72448,                0.66637,                0.57921,                0.66343,                 6.2098,                 1.0879,             0.00015408,             0.00015408,             0.00015408
                      4,                0.82282,                 1.5597,                 1.2169,                0.57407,                0.81481,                0.73998,                0.55583,                0.82736,                 3.0506,                 1.0887,             0.00020798,             0.00020798,             0.00020798
                      5,                0.88545,                 1.3573,                 1.2614,                 0.6712,                0.67968,                0.85991,                0.62165,                0.85845,                   3.19,                 1.1427,             0.00026076,             0.00026076,             0.00026076
                      6,                0.78524,                 1.1258,                  1.113,                0.78034,                      1,                0.95333,                0.72525,                0.87863,                 2.4098,                  1.189,              0.0003124,              0.0003124,              0.0003124
                      7,                0.74734,                 1.0735,                 1.1492,                0.86993,                0.85404,                0.96356,                0.78894,                0.77554,                 1.3295,                 1.1117,             0.00036291,             0.00036291,             0.00036291
                      8,                0.83749,                 1.1338,                 1.2211,                0.95549,                0.96296,                0.98833,                0.79163,                0.85838,                 1.4563,                 1.2751,             0.00041229,             0.00041229,             0.00041229
                      9,                0.85653,                   1.03,                 1.2091,                0.88786,                0.86654,                0.94583,                 0.7913,                0.81905,                 1.2276,                 1.2216,             0.00046054,             0.00046054,             0.00046054
                     10,                 0.7687,                0.92349,                 1.1253,                0.87631,                0.90034,                0.94604,                0.74082,                0.80499,                 1.3613,                 1.1936,             0.00050765,             0.00050765,             0.00050765
                     11,                0.81407,                0.95655,                 1.1967,                 0.6504,                0.87475,                0.87281,                0.73476,                 0.7635,                 1.7443,                  1.173,             0.00055364,             0.00055364,             0.00055364
                     12,                0.84368,                 1.0136,                 1.1948,                0.62746,                0.85463,                0.78699,                0.61132,                0.94096,                 1.5253,                 1.3895,             0.00059849,             0.00059849,             0.00059849
