                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.932,                 10.337,                  0.733,                 1.9318,                 2.2195,                  0.125,                    0.2,                0.08962,                0.04481,                      0,                      0,                      0,                      0,                 1.5075,                 10.312,                0.69268,                  4.629,                 1.9511,                      0,                      0,                      0
                      2,                 1.6284,                 9.0052,                0.71123,                 1.8047,                 1.7716,                0.11111,                    0.2,                  0.084,                  0.042,                      0,                      0,                      0,                      0,                 1.4997,                 10.295,                0.69257,                 4.5877,                 1.9159,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 1.3186,                  10.21,                0.70198,                 1.7148,                 1.7731,                0.11111,                    0.2,                  0.084,                  0.042,                      0,                      0,                      0,                      0,                 1.4514,                 10.297,                0.69235,                 4.5007,                 1.8709,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 1.5978,                 8.7424,                0.70019,                 2.7795,                 1.9284,                0.11111,                    0.2,                0.09375,                0.04688,                      0,                      0,                      0,                      0,                 1.4264,                 10.295,                0.69216,                 4.4569,                 1.8424,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.3615,                  9.792,                0.71583,                 1.7625,                 1.4672,                    0.2,                    0.4,                0.17044,                0.10387,                      0,                      0,                      0,                      0,                 1.3974,                 10.274,                0.69225,                 4.3228,                 1.7768,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 1.5703,                 10.153,                0.69804,                 2.2918,                 1.9704,                 0.9923,                      1,                  0.995,                0.90193,                      0,                      0,                      0,                      0,                0.63904,                 10.258,                0.68931,                0.46579,                0.97444,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.6183,                 10.272,                0.68857,                 1.2109,                 1.8176,                0.98937,                      1,                  0.995,                0.84705,                      0,                      0,                      0,                      0,                 0.5489,                 10.203,                 0.6877,                0.47922,                0.91995,             0.00011287,             0.00011287,             0.00011287
                      8,                 1.0163,                 9.8019,                0.70768,                 0.8038,                 1.2429,                0.98735,                      1,                  0.995,                 0.9119,                      0,                      0,                      0,                      0,                0.44855,                 10.067,                 0.6827,                0.42338,                0.87641,              0.0001303,              0.0001303,              0.0001303
                      9,                0.79537,                 10.118,                0.68633,                0.63938,                 1.1403,                0.98828,                      1,                  0.995,                0.95057,                      0,                      0,                      0,                      0,                0.41707,                 10.051,                0.68163,                0.52829,                0.88533,             0.00014733,             0.00014733,             0.00014733
                     10,                0.72351,                 10.049,                0.69713,                0.62279,                 1.0085,                 0.9897,                      1,                  0.995,                0.88777,                      0,                      0,                      0,                      0,                0.50005,                 9.9478,                0.68466,                0.72997,                0.91865,             0.00016396,             0.00016396,             0.00016396
                     11,                0.54425,                  9.857,                0.70586,                0.50443,                   1.01,                0.98601,                      1,                  0.995,                0.86788,                      0,                      0,                      0,                      0,                0.62197,                 9.8631,                  0.688,                0.90778,                 1.0212,              0.0001802,              0.0001802,              0.0001802
                     12,                0.83237,                 7.8199,                0.66235,                0.81421,                 1.2548,                0.96271,                      1,                  0.995,                0.87301,                      0,                      0,                      0,                      0,                0.70351,                 9.7432,                0.68634,                 1.0235,                 1.1036,             0.00019604,             0.00019604,             0.00019604
                     13,                 1.0006,                 9.2666,                  0.696,                0.69103,                 1.4346,                0.98945,                      1,                  0.995,                0.91164,                      0,                      0,                      0,                      0,                0.47063,                 9.7962,                0.68218,                0.47758,                0.91582,             0.00021149,             0.00021149,             0.00021149
                     14,                0.58229,                 8.8056,                0.69848,                0.57761,                 1.0507,                0.98973,                      1,                  0.995,                0.87287,                      0,                      0,                      0,                      0,                0.54589,                 9.5419,                0.67385,                0.82618,                0.99043,             0.00022654,             0.00022654,             0.00022654
                     15,                0.99714,                  9.451,                0.70065,                0.79989,                 1.4941,                0.99053,                      1,                  0.995,                0.88188,                      0,                      0,                      0,                      0,                0.66086,                 9.3063,                0.67233,                 1.1913,                 1.1056,             0.00024119,             0.00024119,             0.00024119
                     16,                0.80677,                 9.6415,                0.68964,                0.59626,                 1.1432,                0.98873,                      1,                  0.995,                0.85117,                      0,                      0,                      0,                      0,                0.76016,                 9.1303,                0.67175,                 2.0442,                 1.2164,             0.00025545,             0.00025545,             0.00025545
                     17,                0.74222,                  9.133,                0.67281,                0.63966,                 1.0813,                0.98886,                      1,                  0.995,                0.87048,                      0,                      0,                      0,                      0,                0.62306,                 9.0794,                0.67273,                 1.4597,                 1.0875,             0.00026931,             0.00026931,             0.00026931
                     18,                0.85303,                 8.3633,                0.70926,                 0.5794,                 1.2111,                0.98886,                      1,                  0.995,                0.87048,                      0,                      0,                      0,                      0,                0.62306,                 9.0794,                0.67273,                 1.4597,                 1.0875,             0.00028278,             0.00028278,             0.00028278
                     19,                0.54549,                  8.505,                0.66064,                0.65086,                 1.0827,                0.98653,                      1,                  0.995,                0.95101,                      0,                      0,                      0,                      0,                0.49008,                 8.7373,                0.67686,                 1.1052,                0.93155,             0.00029585,             0.00029585,             0.00029585
                     20,                0.73082,                 8.2425,                0.73277,                0.65289,                 1.0597,                0.98653,                      1,                  0.995,                0.95101,                      0,                      0,                      0,                      0,                0.49008,                 8.7373,                0.67686,                 1.1052,                0.93155,             0.00030852,             0.00030852,             0.00030852
                     21,                0.76316,                 8.5214,                0.69689,                0.60081,                 1.1944,                0.98781,                      1,                  0.995,                0.87645,                      0,                      0,                      0,                      0,                0.51481,                 8.2985,                0.68681,                 1.1905,                0.96168,              0.0003208,              0.0003208,              0.0003208
                     22,                 0.7914,                 8.3665,                0.66694,                0.64128,                 1.0417,                0.98781,                      1,                  0.995,                0.87645,                      0,                      0,                      0,                      0,                0.51481,                 8.2985,                0.68681,                 1.1905,                0.96168,             0.00033268,             0.00033268,             0.00033268
                     23,                 0.6799,                  8.312,                0.71488,                 0.7417,                 1.1065,                0.98881,                      1,                  0.995,                0.80188,                      0,                      0,                      0,                      0,                0.59101,                 7.7989,                0.68843,                  1.671,                 1.0666,             0.00034417,             0.00034417,             0.00034417
                     24,                0.66639,                 8.2923,                0.69352,                0.61051,                 1.0443,                0.98881,                      1,                  0.995,                0.80188,                      0,                      0,                      0,                      0,                0.59101,                 7.7989,                0.68843,                  1.671,                 1.0666,             0.00035526,             0.00035526,             0.00035526
                     25,                0.75113,                 6.9535,                0.70961,                0.69186,                 1.4001,                0.54067,                      1,                0.83071,                0.57341,                      0,                      0,                      0,                      0,                  1.102,                 7.7749,                0.67279,                 2.3321,                 1.6345,             0.00036595,             0.00036595,             0.00036595
                     26,                0.84415,                 7.4452,                0.63087,                0.70009,                 1.1531,                0.54067,                      1,                0.83071,                0.57341,                      0,                      0,                      0,                      0,                  1.102,                 7.7749,                0.67279,                 2.3321,                 1.6345,             0.00037625,             0.00037625,             0.00037625
                     27,                0.71625,                 8.4244,                0.69475,                  0.754,                 1.1209,                0.98964,                      1,                  0.995,                0.84883,                      0,                      0,                      0,                      0,                0.81407,                 7.7388,                0.65798,                 1.2366,                 1.4401,             0.00038615,             0.00038615,             0.00038615
                     28,                 1.1325,                 8.8654,                0.70366,                0.84583,                 1.4015,                0.98964,                      1,                  0.995,                0.84883,                      0,                      0,                      0,                      0,                0.81407,                 7.7388,                0.65798,                 1.2366,                 1.4401,             0.00039566,             0.00039566,             0.00039566
                     29,                0.90332,                 8.6504,                0.72098,                0.64288,                 1.2819,                      1,                      1,                  0.995,                0.88199,                      0,                      0,                      0,                      0,                0.62507,                 7.7237,                0.64549,                0.77868,                 1.2861,             0.00040477,             0.00040477,             0.00040477
                     30,                0.78243,                  8.424,                0.66009,                0.69227,                 1.0365,                      1,                      1,                  0.995,                0.88199,                      0,                      0,                      0,                      0,                0.62507,                 7.7237,                0.64549,                0.77868,                 1.2861,             0.00041348,             0.00041348,             0.00041348
                     31,                0.89651,                 8.8491,                0.68459,                0.65981,                 1.4545,                0.99007,                      1,                  0.995,                0.83383,                      0,                      0,                      0,                      0,                0.78434,                 7.3284,                0.63533,                 1.2382,                 1.3754,              0.0004218,              0.0004218,              0.0004218
